"SFB-0149","GLOBAL WORK","PURPLE","S","Rp70,000","POLOS","SHIRT FEMALE","B"
"SFB-0150","UNIQLO","BLUE","S","Rp70,000","POLOS","SHIRT FEMALE","B"
"SFB-0151","AYLESBURRY","GREY","S","Rp70,000","POLOS","SHIRT FEMALE","B"
"SFB-0152","EARTH","BLUE","S","Rp70,000","POLOS","SHIRT FEMALE","B"
"SFB-0153","GAMINERIE","PINK","S","Rp70,000","POLOS","SHIRT FEMALE","B"
"SFB-0154","JINO HOUSE","BROWN","L","Rp70,000","POLOS","SHIRT FEMALE","B"
"SFB-0155","CANTONESE","PINK","M","Rp70,000","POLOS","SHIRT FEMALE","B"
"SFB-0156","DRESKIP","GREEN","M","Rp70,000","POLOS","SHIRT FEMALE","B"
"SFB-0157","NEARWORLD GARMENT","PINK","M","Rp70,000","POLOS","SHIRT FEMALE","B"
"SFB-0158","GERINGUR","GREEN","M","Rp70,000","POLOS","SHIRT FEMALE","B"
"SFB-0159","HOLYDEAL","CREAM","M","Rp70,000","POLOS","SHIRT FEMALE","B"
"SFB-0160","CLOSSHI","LIGHT BLUE","L","Rp70,000","POLOS","SHIRT FEMALE","B"
"SFB-0161","SPB","CREAM","M","Rp70,000","POLOS","SHIRT FEMALE","B"
"SFB-0162","SUNNY CLOUD","BROWN","L","Rp70,000","POLOS","SHIRT FEMALE","B"
"SFB-0163","BIWALL","WHITE","L","Rp70,000","POLOS","SHIRT FEMALE","B"
"SFB-0164","CANTONESE","CREAM","M","Rp70,000","POLOS","SHIRT FEMALE","B"
"SFB-0165","SAMRANG","PURPLE","L","Rp70,000","POLOS","SHIRT FEMALE","B"
"SFB-0166","OH ENERGY","GREY","M","Rp70,000","POLOS","SHIRT FEMALE","B"
"SFB-0167","ESPRITMUR","PINK","L","Rp70,000","POLOS","SHIRT FEMALE","B"
"SFB-0168","MOU DES JOUR","PURPLE","L","Rp70,000","POLOS","SHIRT FEMALE","B"
"SFB-0169","LINIOPI","GREY","M","Rp70,000","POLOS","SHIRT FEMALE","B"
"SFB-0170","SAND BEIGE","GREY","M","Rp70,000","POLOS","SHIRT FEMALE","B"
"SFB-0171","417","WHITE","M","Rp70,000","POLOS","SHIRT FEMALE","B"
"SFB-0172","JINO HOUSE","TOSCA","L","Rp70,000","POLOS","SHIRT FEMALE","B"
"SFB-0173","NOBRAND","CREAM","L","Rp70,000","POLOS","SHIRT FEMALE","B"
"SFB-0174","FEEL YOUR WAY","PEACH","M","Rp70,000","POLOS","SHIRT FEMALE","B"
"SFB-0175","TALASSIO","CREAM","L","Rp70,000","POLOS","SHIRT FEMALE","B"
"SFB-0176","BRICK HOUSE","PURPLE","L","Rp70,000","POLOS","SHIRT FEMALE","B"
"SFB-0177","LOUISE","CREAM","M","Rp70,000","POLOS","SHIRT FEMALE","B"
"SFB-0178","IZE","GREY","M","Rp70,000","POLOS","SHIRT FEMALE","B"
"SFB-0179","CIEN MIL","PURPLE","M","Rp70,000","POLOS","SHIRT FEMALE","B"
"SFB-0180","KOMIKYOKU","LIGHT PURPLE","S","Rp70,000","POLOS","SHIRT FEMALE","B"
"SFB-0181","NOBRAND","PINK","S","Rp70,000","POLOS","SHIRT FEMALE","B"
"SFB-0182","COLLECT CALL","PINK","M","Rp70,000","POLOS","SHIRT FEMALE","B"
"SFB-0183","MARGARET HOWELL","GREY","M","Rp70,000","POLOS","SHIRT FEMALE","B"
"SFB-0184","NO BRAND","GREY","L","Rp70,000","POLOS","SHIRT FEMALE","B"
"SFB-0185","NARA CAMICIE","BROWN","M","Rp70,000","POLOS","SHIRT FEMALE","B"
"SFB-0186","UNIQLO UJ","BLUE","L","Rp70,000","DENIM","SHIRT FEMALE","B"
"SFB-0187","AFRICA TARO","BLUE","M","Rp70,000","DENIM","SHIRT FEMALE","B"
"SFB-0188","NATURAL COUTURE","BLUE","L","Rp70,000","DENIM","SHIRT FEMALE","B"
"SFB-0189","SORRIDERE","WHITE, BLUE","L","Rp70,000","DENIM","SHIRT FEMALE","B"
"SFB-0190","GAP","BLUE","XS","Rp70,000","DENIM","SHIRT FEMALE","B"
"SFB-0191","BACKNUMBER","BLUE","M","Rp70,000","DENIM","SHIRT FEMALE","B"
"SFB-0192","CORNFLAKE","BLUE","M","Rp70,000","DENIM","SHIRT FEMALE","B"
"SFB-0193","CINEMA CLUB","BLUE","M","Rp70,000","DENIM","SHIRT FEMALE","B"
"SFB-0194","AO","CREAM","M","Rp70,000","DENIM","SHIRT FEMALE","B"
"SFB-0195","LIP SERVICE","DARK BLUE","M","Rp70,000","DENIM","SHIRT FEMALE","B"
"SFB-0196","MARBLE CHOICE","DARK BLUE","5L","Rp70,000","DENIM","SHIRT FEMALE","B"
"SFB-0197","FLOWER CIRCLE","MINT","S","Rp70,000","DENIM","SHIRT FEMALE","B"
"SFB-0198","NO BRAND","BLUE","M","Rp70,000","DENIM","SHIRT FEMALE","B"
"SFB-0199","FRANK BEAR","BLUE","M","Rp70,000","DENIM","SHIRT FEMALE","B"
"SFB-0200","UNIQLO","BLUE","L","Rp70,000","DENIM","SHIRT FEMALE","B"
"SFB-0201","PERFECT SUNNY DAY","BLUE","L","Rp70,000","DENIM","SHIRT FEMALE","B"
"SFB-0202","BACKNUMBER","BLUE","S","Rp70,000","DENIM","SHIRT FEMALE","B"
"SFB-0203","CHOCOL RAFFINE","BLUE","L","Rp70,000","DENIM","SHIRT FEMALE","B"
"SFB-0204","RAW EDGE","BLUE","M","Rp70,000","DENIM","SHIRT FEMALE","B"
