SFB-0167,ESPRITMUR,PINK,L,70000,POLOS,SHIRT FEMALE,B
SFB-0168,MOU DES JOUR,PURPLE,L,70000,POLOS,SHIRT FEMALE,B
SFB-0169,LINIOPI,GREY,M,70000,POLOS,SHIRT FEMALE,B
SFB-0170,SAND BEIGE,GREY,M,70000,POLOS,SHIRT FEMALE,B
SFB-0171,417,WHITE,M,70000,POLOS,SHIRT FEMALE,B
SFB-0172,JINO HOUSE,TOSCA,L,70000,POLOS,SHIRT FEMALE,B
SFB-0173,NOBRAND,CREAM,L,70000,POLOS,SHIRT FEMALE,B
SFB-0174,FEEL YOUR WAY,PEACH,M,70000,POLOS,SHIRT FEMALE,B
SFB-0175,TALASSIO,CREAM,L,70000,POLOS,SHIRT FEMALE,B
SFB-0176,BRICK HOUSE,PURPLE,L,70000,POLOS,SHIRT FEMALE,B
SFB-0177,LOUISE,CREAM,M,70000,POLOS,SHIRT FEMALE,B
SFB-0178,IZE,GREY,M,70000,POLOS,SHIRT FEMALE,B
SFB-0179,CIEN MIL,PURPLE,M,70000,POLOS,SHIRT FEMALE,B
SFB-0180,KOMIKYOKU,LIGHT PURPLE,S,70000,POLOS,SHIRT FEMALE,B
SFB-0181,NOBRAND,PINK,S,70000,POLOS,SHIRT FEMALE,B
SFB-0182,COLLECT CALL,PINK,M,70000,POLOS,SHIRT FEMALE,B
SFB-0183,MARGARET HOWELL,GREY,M,70000,POLOS,SHIRT FEMALE,B
SFB-0184,NO BRAND,GREY,L,70000,POLOS,SHIRT FEMALE,B
SFB-0185,NARA CAMICIE,BROWN,M,70000,POLOS,SHIRT FEMALE,B
SFB-0186,UNIQLO UJ,BLUE,L,70000,DENIM,SHIRT FEMALE,B
SFB-0187,AFRICA TARO,BLUE,M,70000,DENIM,SHIRT FEMALE,B
SFB-0188,NATURAL COUTURE,BLUE,L,70000,DENIM,SHIRT FEMALE,B
SFB-0189,SORRIDERE,"WHITE, BLUE",L,70000,DENIM,SHIRT FEMALE,B
SFB-0190,GAP,BLUE,XS,70000,DENIM,SHIRT FEMALE,B
SFB-0191,BACKNUMBER,BLUE,M,70000,DENIM,SHIRT FEMALE,B
SFB-0192,CORNFLAKE,BLUE,M,70000,DENIM,SHIRT FEMALE,B
SFB-0193,CINEMA CLUB,BLUE,M,70000,DENIM,SHIRT FEMALE,B
SFB-0194,AO,CREAM,M,70000,DENIM,SHIRT FEMALE,B
SFB-0195,LIP SERVICE,DARK BLUE,M,70000,DENIM,SHIRT FEMALE,B
SFB-0196,MARBLE CHOICE,DARK BLUE,5L,70000,DENIM,SHIRT FEMALE,B
SFB-0197,FLOWER CIRCLE,MINT,S,70000,DENIM,SHIRT FEMALE,B
SFB-0198,NO BRAND,BLUE,M,70000,DENIM,SHIRT FEMALE,B
SFB-0199,FRANK BEAR,BLUE,M,70000,DENIM,SHIRT FEMALE,B
SFB-0200,UNIQLO,BLUE,L,70000,DENIM,SHIRT FEMALE,B
SFB-0201,PERFECT SUNNY DAY,BLUE,L,70000,DENIM,SHIRT FEMALE,B
SFB-0202,BACKNUMBER,BLUE,S,70000,DENIM,SHIRT FEMALE,B
SFB-0203,CHOCOL RAFFINE,BLUE,L,70000,DENIM,SHIRT FEMALE,B
SFB-0204,RAW EDGE,BLUE,M,70000,DENIM,SHIRT FEMALE,B
SFB-0205,NO BRAND,BLUE,M,70000,DENIM,SHIRT FEMALE,B
SFB-0206,SORRIDERE,LIGHT BLUE,L,70000,DENIM,SHIRT FEMALE,B
SFB-0207,FADED GLORY,DARK BLUE,M,70000,DENIM,SHIRT FEMALE,B
SFB-0208,PLANET BLUE,BLUE,L,70000,DENIM,SHIRT FEMALE,B
SFB-0209,ROPE PICNIC,LIGHT BLUE,M,70000,DENIM,SHIRT FEMALE,B
SFB-0210,DAILY TOPIC,LIGHT BLUE,L,70000,DENIM,SHIRT FEMALE,B
SFB-0211,SMALL REGULER,LIGHT BLUE,M,70000,DENIM,SHIRT FEMALE,B
SFB-0212,SUN LUCAS,DARK BLUE,M,70000,DENIM,SHIRT FEMALE,B
SFB-0213,MC GREGOR,DARK BLUE,L,70000,DENIM,SHIRT FEMALE,B
SFB-0214,AGATE LABEL,DARK BLUE,S,70000,DENIM,SHIRT FEMALE,B
SFB-0215,LAGKAW,DARK BLUE,M,70000,DENIM,SHIRT FEMALE,B
SFB-0216,POPPINS,BLUE,M,70000,DENIM,SHIRT FEMALE,B
SFB-0217,COLZA,BLUE,S,70000,DENIM,SHIRT FEMALE,B
SFB-0218,RETRO GIRL,BLUE,XL,70000,DENIM,SHIRT FEMALE,B
SFB-0219,MARIENE JOBERT,BLACK,L,70000,BLACK,SHIRT FEMALE,B
SFB-0220,CASARIN CRANE,BLACK,M,70000,BLACK,SHIRT FEMALE,B
SFB-0221,HOT CAKE,BLACK,L,70000,BLACK,SHIRT FEMALE,B
SFB-0222,OTTO COLLECTION,BLACK,M,70000,BLACK,SHIRT FEMALE,B
SFB-0223,SPB,BLACK,M,70000,BLACK,SHIRT FEMALE,B
SFB-0224,NO BRAND,BLACK,L,70000,BLACK,SHIRT FEMALE,B
SFB-0225,SAUSALITO,BLACK,M,70000,BLACK,SHIRT FEMALE,B
SFB-0226,YOU FAMILY,BLACK,L,70000,BLACK,SHIRT FEMALE,B
SFB-0227,MENLOVE,BLACK,L,70000,BLACK,SHIRT FEMALE,B
SFB-0228,BEANEE+TUNING,BLACK,M,70000,BLACK,SHIRT FEMALE,B
SFB-0229,KUMIKYOKU,WHITE,L,70000,WHITE,SHIRT FEMALE,B
SFB-0230,DES VAGUES,WHITE,L,70000,WHITE,SHIRT FEMALE,B
SFB-0231,L.A,WHITE,M,70000,WHITE,SHIRT FEMALE,B
SFB-0232,BIWALL,WHITE,L,70000,WHITE,SHIRT FEMALE,B
SFB-0233,BARNYARDSTORM,WHITE,M,70000,WHITE,SHIRT FEMALE,B
SFB-0234,DLS,WHITE,M,70000,WHITE,SHIRT FEMALE,B
SFB-0235,ANCHOR WOMAN,WHITE,M,70000,WHITE,SHIRT FEMALE,B
SFB-0236,BUSINESS EXPERT,WHITE,XL,70000,WHITE,SHIRT FEMALE,B
SFB-0237,BIPLAN ,WHITE,M,70000,WHITE,SHIRT FEMALE,B
SFB-0238,F.W.K,WHITE,L,70000,WHITE,SHIRT FEMALE,B
SFB-0239,THEORIA,WHITE,M,70000,WHITE,SHIRT FEMALE,B
SFB-0240,PERSON'S,WHITE,M,70000,WHITE,SHIRT FEMALE,B
SFB-0241,NO BRAND,WHITE,XL,70000,WHITE,SHIRT FEMALE,B
SFB-0242,NO BRAND,WHITE,S,70000,WHITE,SHIRT FEMALE,B
SFB-0243,9 YR,WHITE,S,70000,WHITE,SHIRT FEMALE,B
SFB-0244,GLEEFUL,WHITE,M,70000,WHITE,SHIRT FEMALE,B
SFB-0245,CLOSSHI,WHITE,L,70000,WHITE,SHIRT FEMALE,B
SFB-0246,ANN TAYLOR,WHITE,L,70000,WHITE,SHIRT FEMALE,B
SFB-0247,HYPEN WORLD GALLERY,WHITE,M,70000,WHITE,SHIRT FEMALE,B
SFB-0248,NUEVE,WHITE,L,70000,WHITE,SHIRT FEMALE,B
SFB-0249,RALPH EVANS,WHITE,L,70000,WHITE,SHIRT FEMALE,B
SFB-0250,OFU,WHITE,S,70000,WHITE,SHIRT FEMALE,B
SFB-0251,FREUDE,WHITE,L,70000,WHITE,SHIRT FEMALE,B
SFB-0252,NO BRAND,WHITE,M,70000,WHITE,SHIRT FEMALE,B
SFB-0253,NEW YORKER,WHITE,S,70000,WHITE,SHIRT FEMALE,B
SFB-0254,PASHPOINT,WHITE,XL,70000,WHITE,SHIRT FEMALE,B
SFB-0255,LITTLE BOUTIQUE,WHITE,M,70000,WHITE,SHIRT FEMALE,B
SFB-0256,UPTIGHT,"BLUE, WHITE",M,70000,STRIP,SHIRT FEMALE,B
