"NO","CODE","BRAND","COLOR","SIZE","PRICE","REMARK","CATEGORY","GRADE"
"169","SFB-0168","MOU DES JOUR","PURPLE","L","70000","POLOS","SHIRT FEMALE","B"
"170","SFB-0169","LINIOPI","GREY","M","70000","POLOS","SHIRT FEMALE","B"
"171","SFB-0170","SAND BEIGE","GREY","M","70000","POLOS","SHIRT FEMALE","B"
"172","SFB-0171","417","WHITE","M","70000","POLOS","SHIRT FEMALE","B"
"173","SFB-0172","JINO HOUSE","TOSCA","L","70000","POLOS","SHIRT FEMALE","B"
"174","SFB-0173","NOBRAND","CREAM","L","70000","POLOS","SHIRT FEMALE","B"
"175","SFB-0174","FEEL YOUR WAY","PEACH","M","70000","POLOS","SHIRT FEMALE","B"
"176","SFB-0175","TALASSIO","CREAM","L","70000","POLOS","SHIRT FEMALE","B"
"177","SFB-0176","BRICK HOUSE","PURPLE","L","70000","POLOS","SHIRT FEMALE","B"
"178","SFB-0177","LOUISE","CREAM","M","70000","POLOS","SHIRT FEMALE","B"
"179","SFB-0178","IZE","GREY","M","70000","POLOS","SHIRT FEMALE","B"
"180","SFB-0179","CIEN MIL","PURPLE","M","70000","POLOS","SHIRT FEMALE","B"
"181","SFB-0180","KOMIKYOKU","LIGHT PURPLE","S","70000","POLOS","SHIRT FEMALE","B"
"182","SFB-0181","NOBRAND","PINK","S","70000","POLOS","SHIRT FEMALE","B"
"183","SFB-0182","COLLECT CALL","PINK","M","70000","POLOS","SHIRT FEMALE","B"
"184","SFB-0183","MARGARET HOWELL","GREY","M","70000","POLOS","SHIRT FEMALE","B"
"185","SFB-0184","NO BRAND","GREY","L","70000","POLOS","SHIRT FEMALE","B"
"186","SFB-0185","NARA CAMICIE","BROWN","M","70000","POLOS","SHIRT FEMALE","B"
"187","SFB-0186","UNIQLO UJ","BLUE","L","70000","DENIM","SHIRT FEMALE","B"
"188","SFB-0187","AFRICA TARO","BLUE","M","70000","DENIM","SHIRT FEMALE","B"
"189","SFB-0188","NATURAL COUTURE","BLUE","L","70000","DENIM","SHIRT FEMALE","B"
"190","SFB-0189","SORRIDERE","WHITE, BLUE","L","70000","DENIM","SHIRT FEMALE","B"
"191","SFB-0190","GAP","BLUE","XS","70000","DENIM","SHIRT FEMALE","B"
"192","SFB-0191","BACKNUMBER","BLUE","M","70000","DENIM","SHIRT FEMALE","B"
"193","SFB-0192","CORNFLAKE","BLUE","M","70000","DENIM","SHIRT FEMALE","B"
"194","SFB-0193","CINEMA CLUB","BLUE","M","70000","DENIM","SHIRT FEMALE","B"
"195","SFB-0194","AO","CREAM","M","70000","DENIM","SHIRT FEMALE","B"
"196","SFB-0195","LIP SERVICE","DARK BLUE","M","70000","DENIM","SHIRT FEMALE","B"
"197","SFB-0196","MARBLE CHOICE","DARK BLUE","5L","70000","DENIM","SHIRT FEMALE","B"
"198","SFB-0197","FLOWER CIRCLE","MINT","S","70000","DENIM","SHIRT FEMALE","B"
"199","SFB-0198","NO BRAND","BLUE","M","70000","DENIM","SHIRT FEMALE","B"
"200","SFB-0199","FRANK BEAR","BLUE","M","70000","DENIM","SHIRT FEMALE","B"
"201","SFB-0200","UNIQLO","BLUE","L","70000","DENIM","SHIRT FEMALE","B"
"202","SFB-0201","PERFECT SUNNY DAY","BLUE","L","70000","DENIM","SHIRT FEMALE","B"
"203","SFB-0202","BACKNUMBER","BLUE","S","70000","DENIM","SHIRT FEMALE","B"
"204","SFB-0203","CHOCOL RAFFINE","BLUE","L","70000","DENIM","SHIRT FEMALE","B"
"205","SFB-0204","RAW EDGE","BLUE","M","70000","DENIM","SHIRT FEMALE","B"
"206","SFB-0205","NO BRAND","BLUE","M","70000","DENIM","SHIRT FEMALE","B"
"207","SFB-0206","SORRIDERE","LIGHT BLUE","L","70000","DENIM","SHIRT FEMALE","B"
"208","SFB-0207","FADED GLORY","DARK BLUE","M","70000","DENIM","SHIRT FEMALE","B"
"209","SFB-0208","PLANET BLUE","BLUE","L","70000","DENIM","SHIRT FEMALE","B"
"210","SFB-0209","ROPE PICNIC","LIGHT BLUE","M","70000","DENIM","SHIRT FEMALE","B"
"211","SFB-0210","DAILY TOPIC","LIGHT BLUE","L","70000","DENIM","SHIRT FEMALE","B"
"212","SFB-0211","SMALL REGULER","LIGHT BLUE","M","70000","DENIM","SHIRT FEMALE","B"
"213","SFB-0212","SUN LUCAS","DARK BLUE","M","70000","DENIM","SHIRT FEMALE","B"
"214","SFB-0213","MC GREGOR","DARK BLUE","L","70000","DENIM","SHIRT FEMALE","B"
"215","SFB-0214","AGATE LABEL","DARK BLUE","S","70000","DENIM","SHIRT FEMALE","B"
"216","SFB-0215","LAGKAW","DARK BLUE","M","70000","DENIM","SHIRT FEMALE","B"
"217","SFB-0216","POPPINS","BLUE","M","70000","DENIM","SHIRT FEMALE","B"
"218","SFB-0217","COLZA","BLUE","S","70000","DENIM","SHIRT FEMALE","B"
"219","SFB-0218","RETRO GIRL","BLUE","XL","70000","DENIM","SHIRT FEMALE","B"
"220","SFB-0219","MARIENE JOBERT","BLACK","L","70000","BLACK","SHIRT FEMALE","B"
"221","SFB-0220","CASARIN CRANE","BLACK","M","70000","BLACK","SHIRT FEMALE","B"
"222","SFB-0221","HOT CAKE","BLACK","L","70000","BLACK","SHIRT FEMALE","B"
"223","SFB-0222","OTTO COLLECTION","BLACK","M","70000","BLACK","SHIRT FEMALE","B"
"224","SFB-0223","SPB","BLACK","M","70000","BLACK","SHIRT FEMALE","B"
"225","SFB-0224","NO BRAND","BLACK","L","70000","BLACK","SHIRT FEMALE","B"
"226","SFB-0225","SAUSALITO","BLACK","M","70000","BLACK","SHIRT FEMALE","B"
"227","SFB-0226","YOU FAMILY","BLACK","L","70000","BLACK","SHIRT FEMALE","B"
"228","SFB-0227","MENLOVE","BLACK","L","70000","BLACK","SHIRT FEMALE","B"
"229","SFB-0228","BEANEE+TUNING","BLACK","M","70000","BLACK","SHIRT FEMALE","B"
"230","SFB-0229","KUMIKYOKU","WHITE","L","70000","WHITE","SHIRT FEMALE","B"
"231","SFB-0230","DES VAGUES","WHITE","L","70000","WHITE","SHIRT FEMALE","B"
"232","SFB-0231","L.A","WHITE","M","70000","WHITE","SHIRT FEMALE","B"
"233","SFB-0232","BIWALL","WHITE","L","70000","WHITE","SHIRT FEMALE","B"
"234","SFB-0233","BARNYARDSTORM","WHITE","M","70000","WHITE","SHIRT FEMALE","B"
"235","SFB-0234","DLS","WHITE","M","70000","WHITE","SHIRT FEMALE","B"
"236","SFB-0235","ANCHOR WOMAN","WHITE","M","70000","WHITE","SHIRT FEMALE","B"
"237","SFB-0236","BUSINESS EXPERT","WHITE","XL","70000","WHITE","SHIRT FEMALE","B"
"238","SFB-0237","BIPLAN ","WHITE","M","70000","WHITE","SHIRT FEMALE","B"
"239","SFB-0238","F.W.K","WHITE","L","70000","WHITE","SHIRT FEMALE","B"
"240","SFB-0239","THEORIA","WHITE","M","70000","WHITE","SHIRT FEMALE","B"
"241","SFB-0240","PERSON'S","WHITE","M","70000","WHITE","SHIRT FEMALE","B"
"242","SFB-0241","NO BRAND","WHITE","XL","70000","WHITE","SHIRT FEMALE","B"
"243","SFB-0242","NO BRAND","WHITE","S","70000","WHITE","SHIRT FEMALE","B"
"244","SFB-0243","9 YR","WHITE","S","70000","WHITE","SHIRT FEMALE","B"
"245","SFB-0244","GLEEFUL","WHITE","M","70000","WHITE","SHIRT FEMALE","B"
"246","SFB-0245","CLOSSHI","WHITE","L","70000","WHITE","SHIRT FEMALE","B"
"247","SFB-0246","ANN TAYLOR","WHITE","L","70000","WHITE","SHIRT FEMALE","B"
"248","SFB-0247","HYPEN WORLD GALLERY","WHITE","M","70000","WHITE","SHIRT FEMALE","B"
"249","SFB-0248","NUEVE","WHITE","L","70000","WHITE","SHIRT FEMALE","B"
"250","SFB-0249","RALPH EVANS","WHITE","L","70000","WHITE","SHIRT FEMALE","B"
"251","SFB-0250","OFU","WHITE","S","70000","WHITE","SHIRT FEMALE","B"
"252","SFB-0251","FREUDE","WHITE","L","70000","WHITE","SHIRT FEMALE","B"
"253","SFB-0252","NO BRAND","WHITE","M","70000","WHITE","SHIRT FEMALE","B"
"254","SFB-0253","NEW YORKER","WHITE","S","70000","WHITE","SHIRT FEMALE","B"
"255","SFB-0254","PASHPOINT","WHITE","XL","70000","WHITE","SHIRT FEMALE","B"
"256","SFB-0255","LITTLE BOUTIQUE","WHITE","M","70000","WHITE","SHIRT FEMALE","B"
"257","SFB-0256","UPTIGHT","BLUE, WHITE","M","70000","STRIP","SHIRT FEMALE","B"
"258","SFB-0257","SHIRTS COLLECTION","LIGHT BLUE","L","70000","STRIP","SHIRT FEMALE","B"
"259","SFB-0258","APSRA","WHITE GREEN","M","70000","STRIP","SHIRT FEMALE","B"
"260","SFB-0259","MIDOPA","CREAM","L","70000","STRIP","SHIRT FEMALE","B"
"261","SFB-0260","CANTONESE","GREY","M","70000","STRIP","SHIRT FEMALE","B"
"262","SFB-0261","NO BRAND","LIGHT BLUE","L","70000","STRIP","SHIRT FEMALE","B"
"263","SFB-0262","CLOSSHI","BLUE","L","70000","STRIP","SHIRT FEMALE","B"
"264","SFB-0263","ANNIE LAURIE","CREAM","L","70000","STRIP","SHIRT FEMALE","B"
"265","SFB-0264","DOGGY","BLUE","L","70000","STRIP","SHIRT FEMALE","B"
"266","SFB-0265","NO BRAND","BLUE","L","70000","STRIP","SHIRT FEMALE","B"
"267","SFB-0266","JANE EYRE","DARK BLUE","M","70000","STRIP","SHIRT FEMALE","B"
"268","SFB-0267","CLOSSHI","WHITE, GREY","LL","70000","STRIP","SHIRT FEMALE","B"
"269","SFB-0268","ISIN","WHITE GREY","5L","70000","STRIP","SHIRT FEMALE","B"
"270","SFB-0269","URAMOCO","BLUE","LL","70000","STRIP","SHIRT FEMALE","B"
"271","SFB-0270","SIRMIONE","WHITE","L","70000","STRIP","SHIRT FEMALE","B"
"272","SFB-0271","SOUTHERN LADY","PINK","L","70000","STRIP","SHIRT FEMALE","B"
"273","SFB-0272","COMME CA DU MODE","WHITE GREY","L","70000","STRIP","SHIRT FEMALE","B"
"274","SFB-0273","J CREW","BLACK WHITE","XS","70000","STRIP","SHIRT FEMALE","B"
"275","SFB-0274","INDIVI","WHITE","L","70000","STRIP","SHIRT FEMALE","B"
"276","SFB-0275","GEMBONY","BLUE","LL","70000","STRIP","SHIRT FEMALE","B"
"277","SFB-0276","NO BRAND","BLUE","M","70000","STRIP","SHIRT FEMALE","B"
"278","SFB-0277","YUCARA","BLUE","M","70000","STRIP","SHIRT FEMALE","B"
"279","SFB-0278","BRICK HOUSE","WHITE","S","70000","MOTIF","SHIRT FEMALE","B"
"280","SFB-0279","MADAM ANDY","WHITE","M","70000","MOTIF","SHIRT FEMALE","B"
"281","SFB-0280","ALLOWED TO UNFOLD","WHITE","M","70000","MOTIF","SHIRT FEMALE","B"
"282","SFB-0281","RALPH LAUREN","PURPLE","M","70000","MOTIF","SHIRT FEMALE","B"
"283","SFB-0282","KIM ROGERS","BLUE","M","70000","MOTIF","SHIRT FEMALE","B"
"284","SFB-0283","NO BRAND","PINK","M","70000","MOTIF","SHIRT FEMALE","B"
"285","SFB-0284","STUDIO CLIP","WHITE","M","70000","MOTIF","SHIRT FEMALE","B"
"286","SFB-0285","BASIC TONE","NAVY","M","70000","MOTIF","SHIRT FEMALE","B"
"287","SFB-0286","FLATTA","CREAM","M","70000","MOTIF","SHIRT FEMALE","B"
"288","SFB-0287","LADIES ASHIC","WHITE","M","70000","MOTIF","SHIRT FEMALE","B"
"289","SFB-0288","NO BRAND","WHITE","M","70000","MOTIF","SHIRT FEMALE","B"
"290","SFB-0289","REGATTA","TOSCA","S","70000","MOTIF","SHIRT FEMALE","B"
"291","SFB-0290","NO BRAND","COLORFUL","M","70000","MOTIF","SHIRT FEMALE","B"
"292","SFB-0291","RED GRAPE","WHITE","M","70000","MOTIF","SHIRT FEMALE","B"
"293","SFB-0292","G COLLECTION","BLUE","L","70000","MOTIF","SHIRT FEMALE","B"
"294","SFB-0293","CREPERIE","WHITE","M","70000","MOTIF","SHIRT FEMALE","B"
"295","SFB-0294","BRICK HOUSE","GREEN","M","70000","MOTIF","SHIRT FEMALE","B"
"296","SFB-0295","TRANS WORK","PINK","L","70000","MOTIF","SHIRT FEMALE","B"
"297","SFB-0296","JAPANESE","WHITE","M","70000","MOTIF","SHIRT FEMALE","B"
"298","SFB-0297","ELLCORE","BLACK","L","70000","MOTIF","SHIRT FEMALE","B"
"299","SFB-0298","CARO CARA","ORANGE","M","70000","MOTIF","SHIRT FEMALE","B"
"300","SFB-0299","BACK NUMBER","GREY","S","70000","MOTIF","SHIRT FEMALE","B"
"301","SFB-0300","GU","WHITE","M","70000","MOTIF","SHIRT FEMALE","B"
"302","SFB-0301","GEMBONY","NAVY","M","70000","MOTIF","SHIRT FEMALE","B"
"303","SFB-0302","NO BRAND","GREEN","M","70000","MOTIF","SHIRT FEMALE","B"
"304","SFB-0303","NUEVO.VA","CREAM","M","70000","MOTIF","SHIRT FEMALE","B"
"305","SFB-0304","NO BRAND","WHITE","L","70000","MOTIF","SHIRT FEMALE","B"
"306","SFB-0305","VIA MODE","COLORFUL","M","70000","MOTIF","SHIRT FEMALE","B"
"307","SFB-0306","TABLOT","RED","L","70000","MOTIF","SHIRT FEMALE","B"
"308","SFB-0307","90ANS","WHITE","M","70000","MOTIF","SHIRT FEMALE","B"
"309","SFB-0308","VISBY","BLUE, WHITE","M","70000","MOTIF","SHIRT FEMALE","B"
"310","SFB-0309","SLOWLIFE","WHITE","L","70000","MOTIF","SHIRT FEMALE","B"
"311","SFB-0310","NO BRAND ","WHITE","L","70000","MOTIF","SHIRT FEMALE","B"
"2","DKB-0001","ceald","motif","M","50000","","DRESS KATUN","B"
"4","DKB-0003","native wit","grey","M","50000","","DRESS KATUN","B"
"5","DKB-0004","no brand 3","grey stripe","M","50000","","DRESS KATUN","B"
"6","DKB-0005","francaise","stripe purple","M","50000","","DRESS KATUN","B"
"7","DKB-0006","samansa mos2","navy","M","50000","","DRESS KATUN","B"
"8","DKB-0007","simplicite","white","M","50000","","DRESS KATUN","B"
"9","DKB-0008","atsuro tayana ","black","M","50000","","DRESS KATUN","B"
"10","DKB-0009","No brand 4","stripe","M","50000","","DRESS KATUN","B"
"11","DKB-0010","N, ","grey","M","50000","","DRESS KATUN","B"
"12","DKB-0011","monteu","stripe navy ","M","50000","","DRESS KATUN","B"
"13","DKB-0012","UNIQLO","GREY","M","50000","","DRESS KATUN","B"
"14","DKB-0013","No brand 5","yellow","M","50000","","DRESS KATUN","B"
"16","DKB-0015","la foret","stripe black grey","M","50000","","DRESS KATUN","B"
"17","DKB-0016","fait mains","motif","M","50000","","DRESS KATUN","B"
"18","DKB-0017","MALAIKA","Motif","M","50000","","DRESS KATUN","B"
"19","DKB-0018","native wit","motif","M","50000","","DRESS KATUN","B"
"20","DKB-0019","No brand 7","navy","M","50000","","DRESS KATUN","B"
"21","DKB-0020","Coen","stripe maroon","M","50000","","DRESS KATUN","B"
"22","DKB-0021","BARBARELLA","Motif","M","50000","","DRESS KATUN","B"
"23","DKB-0022","no brand 8","navy","M","50000","","DRESS KATUN","B"
"24","DKB-0023","sorridere","blue light","M","50000","","DRESS KATUN","B"
"25","DKB-0024","world champion","black","M","50000","","DRESS KATUN","B"
"26","DKB-0025","carnaby","motif","M","50000","","DRESS KATUN","B"
"27","DKB-0026","bateaumouche","motif","S","50000","","DRESS KATUN","B"
"28","DKB-0027","Maple sugar","motif","S","50000","","DRESS KATUN","B"
"29","DKB-0028","Arabis","stripe","S","50000","","DRESS KATUN","B"
"30","DKB-0029","Francaise","brown stripe","S","50000","","DRESS KATUN","B"
"33","DKB-0032","NO BRAND 9","MOTIF","M","50000","","DRESS KATUN","B"
"38","DKB-0037","A.V.V STANDARD","GREY","M","50000","","DRESS KATUN","B"
"47","DKB-0046","NO BRAND 11","GREY","L","50000","","DRESS KATUN","B"
"48","DKB-0047","EF-DE","BROWN ","M","50000","","DRESS KATUN","B"
"49","DKB-0048","MAISON DE PLAGE","GREY","L","50000","","DRESS KATUN","B"
"50","DKB-0049","BURETTE CLUB","MOTIF","M","50000","","DRESS KATUN","B"
"54","DKB-0053","NO BRAND 12","STRIPE","M","50000","","DRESS KATUN","B"
"57","DKB-0056","SUNNY CLOUDS","GREY","L","50000","","DRESS KATUN","B"
"58","DKB-0057","CLOSE UP","MOTIF","M","50000","","DRESS KATUN","B"
"59","DKB-0058","LYNN","YELLOW","M","50000","","DRESS KATUN","B"
"63","DKB-0062","KHALITA","BLACK","M","50000","","DRESS KATUN","B"
"64","DKB-0063","KOREAN BRAND","NAVY","M","50000","","DRESS KATUN","B"
"66","DKB-0065","SORSA","NAVY","XL","50000","","DRESS KATUN","B"
"67","DKB-0066","XLO BRAND ","GREY","M","50000","","DRESS KATUN","B"
"68","DKB-0067","A.V.V STANDARD","GREY NAVY","M","50000","","DRESS KATUN","B"
"69","DKB-0068","W CLOSET WEARS INC","MOTIF","M","50000","","DRESS KATUN","B"
"70","DKB-0069","LBC","MOTIF","L","50000","","DRESS KATUN","B"
"71","DKB-0070","MAMMY LUNA ","MOTIF","M","50000","","DRESS KATUN","B"
"72","DKB-0071","ROPI PICNIC","BLACK","M","50000","","DRESS KATUN","B"
"73","DKB-0072","MIMI COLLECTION","MOTIF","XL","50000","","DRESS KATUN","B"
"74","DKB-0073","S_COLLECTION ","BLACK","S","50000","","DRESS KATUN","B"
"75","DKB-0074","BECKY","BLACK","S","50000","","DRESS KATUN","B"
"76","DKB-0075","HAPPY MAIL","MOTIF","M","50000","","DRESS KATUN","B"
"77","DKB-0076","VALLEY GIRL","PEACH","M","50000","","DRESS KATUN","B"
"78","DKB-0077","MIGNON","MOTIF","M","50000","","DRESS KATUN","B"
"79","DKB-0078","SLOBE","ARMY","M","50000","","DRESS KATUN","B"
"80","DKB-0079","ROSE TIARA","MOTIF","M","50000","","DRESS KATUN","B"
"83","DKB-0082","NICE CLAUP","GREY","M","50000","","DRESS KATUN","B"
"84","DKB-0083","PETITREITRE","NAVY","M","50000","","DRESS KATUN","B"
"85","DKB-0084","NO BRAND 16","MOTIF","M","50000","","DRESS KATUN","B"
